RK,CODE,CODE2,POS,POS RK,TIER,PLAYER,TEAM,PPL,SALARY,TAG,BYE,2022 PROJ,2021 TTL,2021 AVG,2021 TKL,2021 AST,2021 SACK,BEST,WORST,AVG
23,IDP23,S6,S,6,2,Harrison Smith,MIN,MACHINE,$1,X,,110.04,186.75,12.4,83,31,3,7,19,44
24,IDP24,LB26,LB,26,3,Deion Jones,ATL,PROGRAM,$6,C,,132.53,209.75,13.1,87,50,2,17,20,44
25,IDP25,LB15,LB,15,2,Shaquille Leonard,IND,HOMIES,$11,X,,153.37,229.75,13.5,75,47,0,8,2,48
26,IDP26,LB19,LB,19,3,Denzel Perryman,LV,PROGRAM,$3,X,,136.1,221,14.7,102,52,0,20,24,53
27,IDP27,S8,S,8,3,Jalen Thompson,ARI,FREE AGENT,,,,133.58,181.5,10.7,78,42,0,8,25,54
28,IDP28,LB18,LB,18,3,Demario Davis,NO,ROID RAGERS,$1,X,,108.48,186.25,11.6,70,35,3,18,21,55
29,IDP29,S9,S,9,3,Minkah Fitzpatrick,PIT,FREE AGENT,,,,104.63,187,11.7,84,40,0,9,25,55
30,IDP30,LB16,LB,16,3,Lavonte David,TB,HABANEROS,$8,X,,123.87,157,12.1,63,34,2,16,23,56
31,IDP31,LB21,LB,21,3,Tremaine Edmunds,BUF,MACHINE,$1,PP,,109,161.25,10.8,70,38,0,23,28,60
32,IDP32,CB1,CB,1,4,Kenny Moore II,IND,HABANEROS,$1,PP,,124.11,199,11.7,81,20,1,1,35,63
33,IDP33,LB27,LB,27,4,Jeremiah Owusu-Koramoah,CLE,SHAFT,$3,X,,93.77,119,8.5,48,26,1.5,21,22,65
34,IDP34,DT1,DT,1,2,Aaron Donald,LAR,WAILERS,$2,X,,116.38,211,12.4,38,46,12.5,1,7,66
35,IDP35,S11,S,11,3,Vonn Bell,CIN,MACHINE,$1,X,,112.73,168.25,10.5,64,33,0.5,11,30,66
36,IDP36,S10,S,10,3,Justin Simmons,DEN,FREE AGENT,,,,93.47,164,9.6,60,20,1.5,12,33,67
37,IDP37,LB20,LB,20,3,Bobby Okereke,IND,WAILERS,$1,PP,,117.42,191.75,11.3,88,43,1,22,31,69
38,IDP38,DE7,DE,7,5,Maxx Crosby,LV,,,,,75.51,144,8.5,36,20,8,5,32,69
39,IDP39,LB28,LB,28,4,Isaiah Simmons,ARI,WAILERS,$1,X,,121.52,175,10.3,68,34,1.5,28,28,70
40,IDP40,LB23,LB,23,3,Myles Jack,PIT,FREE AGENT,,,,100.2,135,9,62,46,0,25,32,71
41,IDP41,LB24,LB,24,3,Jerome Baker,MIA,ROID RAGERS,$7,PP,,111.19,175,10.9,62,30,5.5,24,35,71
42,IDP42,LB17,LB,17,3,Nick Bolton,KC,SHAFT,$1,X,,103.79,178.5,11.2,70,42,0,19,27,72
43,IDP43,S14,S,14,4,Jayron Kearse,DAL,FREE AGENT,,,,88.77,177,11.1,64,34,1,15,36,72
44,IDP44,S18,S,18,4,Xavier McKinney,NYG,,,,,112.5,162.5,9.6,59,34,0,17,37,72
45,IDP45,S15,S,15,4,Jessie Bates III,CIN,FREE AGENT,,,,102.9,138,9.2,67,21,0,13,30,73
46,IDP46,DE5,DE,5,4,Cameron Jordan,NO,,,,,98.89,172.25,10.8,38,21,12.5,4,34,73
47,IDP47,DE3,DE,3,4,Cameron Heyward,PIT,FREE AGENT,,,,86,210.5,12.4,53,36,10,3,19,75
48,IDP48,S12,S,12,4,Kevin Byard,TEN,FREE AGENT,,,,87.57,182.25,10.7,57,31,1,10,27,76
49,IDP49,DE6,DE,6,5,Brian Burns,CAR,,,,,84.11,143.25,8.4,31,19,9,6,32,79
50,IDP50,DE4,DE,4,4,Trey Hendrickson,CIN,,,,,87.18,139.25,8.7,21,13,14,7,46,81
51,IDP51,LB38,LB,38,5,Devin Lloyd,JAC,ROOKIE,,,,87.17,0,0,0,0,0,33,46,82
52,IDP52,CB8,CB,8,7,Jalen Ramsey,LAR,,,,,81.99,,11.2,,,,5,75,82
53,IDP53,LB25,LB,25,3,Jordan Hicks,MIN,BROTHERHOOD,$3,X,,112.93,201.75,11.9,76,41,5,27,40,83
54,IDP54,LB31,LB,31,4,Cody Barton,SEA,FREE AGENT,,,,50.73,33.25,3,14,11,0,29,30,84
55,IDP55,DE8,DE,8,5,DeMarcus Lawrence,DAL,,,,,79.75,78.75,11.3,16,5,3,8,30,84
56,IDP56,S13,S,13,4,Johnathan Abram,LV,MACHINE,$1,X,,109.63,160.25,11.4,63,51,0,14,39,85
57,IDP57,LB35,LB,35,4,Quincy Williams,NYJ,MACHINE,$1,X,,104.3,182.75,11.4,70,37,2,40,62,86
